City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
114,Ambilobe,MG,77.77,light rain,-13.2,49.05,Ambilobe
115,Warri,NG,87.57,overcast clouds,5.5167,5.75,Warri
129,Sosua,DO,84.2,scattered clouds,19.7667,-70.5167,Sosúa
131,Jacareacanga,BR,75.92,overcast clouds,-6.2222,-57.7528,Jacareacanga
137,Ejido,VE,80.73,overcast clouds,8.5514,-71.2375,Merida
144,Arraial Do Cabo,BR,78.8,overcast clouds,-22.9661,-42.0278,Arraial do Cabo
147,Natal,BR,89.6,few clouds,-5.795,-35.2094,Natal
148,Saint-Joseph,RE,80.6,light rain,-21.3667,55.6167,Saint-Joseph
151,Kununurra,AU,82.4,scattered clouds,-15.7667,128.7333,Kununurra
152,Koumac,NC,77.92,clear sky,-20.5667,164.2833,Koumac
154,Lorengau,PG,81.77,overcast clouds,-2.0226,147.2712,Lorengau
160,Bengkulu,ID,77.54,overcast clouds,-3.8004,102.2655,Bengkulu
166,Galle,LK,78.21,broken clouds,6.0367,80.217,Galle
169,Carnarvon,AU,80.6,scattered clouds,-24.8667,113.6333,Carnarvon
170,Souillac,MU,80.6,broken clouds,-20.5167,57.5167,Souillac
180,Pointe-Noire,CG,86.0,scattered clouds,-4.7761,11.8635,Pointe-Noire
185,Araouane,ML,89.82,broken clouds,18.9048,-3.5265,Araouane
187,Touros,BR,89.6,scattered clouds,-5.1989,-35.4608,Touros
189,Dingle,PH,75.25,overcast clouds,10.9995,122.6711,Pototan
193,Mindelo,CV,78.8,broken clouds,16.8901,-24.9804,Mindelo
194,Poum,NC,80.47,clear sky,-20.2333,164.0167,Poum
197,Buenos Aires,AR,82.0,broken clouds,-34.6132,-58.3772,Buenos Aires
198,Martapura,ID,75.2,overcast clouds,-3.4167,114.85,Martapura
199,Chuy,UY,80.19,scattered clouds,-33.6971,-53.4616,Chuy
203,Simbahan,PH,81.36,overcast clouds,6.3032,120.5836,Pangutaran
204,Cidreira,BR,82.24,broken clouds,-30.1811,-50.2056,CIDREIRA
211,Isugod,PH,76.21,scattered clouds,9.3408,118.1196,Quezon
212,Mozarlandia,BR,81.73,broken clouds,-14.7447,-50.5706,Mozarlândia
213,Taoudenni,ML,80.58,clear sky,22.6783,-3.9836,Taoudenni
214,Inhambane,MZ,82.4,light rain,-23.865,35.3833,Maxixe
217,Sehithwa,BW,82.36,scattered clouds,-20.4667,22.7167,Sehithwa
220,Bandarbeyla,SO,75.67,scattered clouds,9.4942,50.8122,Bandarbeyla
221,Aswan,EG,78.28,clear sky,24.0934,32.907,Aswan
222,Salalah,OM,77.0,clear sky,17.0151,54.0924,Salalah
230,Biak,ID,78.06,overcast clouds,-0.9131,122.8766,CV. Karya Alam Perkasa
233,Buchanan,LR,84.2,light rain,5.8808,-10.0467,Buchanan
238,Vila Velha,BR,89.6,clear sky,-20.3297,-40.2925,Vila Velha
243,Umm Lajj,SA,76.96,clear sky,25.0213,37.2685,Umluj
246,Ndjole,GA,85.39,moderate rain,-0.1783,10.7649,Ndjole
248,Maningrida,AU,79.84,light rain,-12.0667,134.2667,West Arnhem
