City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
187,Touros,BR,-5.1989,-35.4608,89.6,51,40,16.11,scattered clouds,2021-02-15 16:11:17
188,Chokurdakh,RU,70.6333,147.9167,-16.04,88,83,4.25,broken clouds,2021-02-15 16:11:17
189,Dingle,PH,10.9995,122.6711,75.25,88,100,7.09,overcast clouds,2021-02-15 16:11:17
190,Monroe,US,43.1501,-77.6831,27.0,80,90,1.39,light snow,2021-02-15 16:10:02
191,Gold Coast,AU,-28.0,153.4333,73.0,83,40,6.91,scattered clouds,2021-02-15 16:11:18
192,Hoa Binh,VN,20.8133,105.3383,69.8,78,75,4.61,broken clouds,2021-02-15 16:11:18
193,Mindelo,CV,16.8901,-24.9804,78.8,53,75,27.63,broken clouds,2021-02-15 16:11:19
194,Poum,NC,-20.2333,164.0167,80.47,76,2,7.16,clear sky,2021-02-15 16:11:19
195,Tiksi,RU,71.6872,128.8694,-8.48,90,100,10.6,overcast clouds,2021-02-15 16:11:19
196,Charters Towers,AU,-20.1,146.2667,73.67,88,100,10.87,overcast clouds,2021-02-15 16:11:20
197,Buenos Aires,AR,-34.6132,-58.3772,82.0,57,75,6.91,broken clouds,2021-02-15 16:07:12
198,Martapura,ID,-3.4167,114.85,75.2,100,87,3.44,overcast clouds,2021-02-15 16:11:20
199,Chuy,UY,-33.6971,-53.4616,80.19,64,43,5.61,scattered clouds,2021-02-15 16:11:21
200,Mhango,TZ,-3.2833,32.85,74.48,70,54,2.17,broken clouds,2021-02-15 16:11:21
201,Storforshei,NO,66.4043,14.5233,18.0,92,0,2.3,clear sky,2021-02-15 16:11:22
202,Izhma,RU,65.0083,53.9113,-11.0,89,100,5.08,overcast clouds,2021-02-15 16:11:22
203,Simbahan,PH,6.3032,120.5836,81.36,83,91,15.66,overcast clouds,2021-02-15 16:11:22
204,Cidreira,BR,-30.1811,-50.2056,82.24,58,67,7.02,broken clouds,2021-02-15 16:11:22
205,Bagdarin,RU,54.4333,113.6,-20.38,79,0,4.97,clear sky,2021-02-15 16:11:23
206,Tvoroyri,FO,61.5556,-6.8111,44.6,100,90,17.27,mist,2021-02-15 16:11:23
207,Ahipara,NZ,-35.1667,173.1667,67.73,89,100,22.35,overcast clouds,2021-02-15 16:11:24
208,Smithers,CA,54.7804,-127.1743,15.8,92,90,4.61,light snow,2021-02-15 16:11:24
209,Iqaluit,CA,63.7506,-68.5145,-4.0,77,75,21.85,snow,2021-02-15 16:11:24
210,Torbay,CA,47.6666,-52.7314,30.99,74,75,17.27,broken clouds,2021-02-15 16:11:25
211,Isugod,PH,9.3408,118.1196,76.21,80,28,4.27,scattered clouds,2021-02-15 16:11:25
212,Mozarlandia,BR,-14.7447,-50.5706,81.73,78,72,4.68,broken clouds,2021-02-15 16:11:26
213,Taoudenni,ML,22.6783,-3.9836,80.58,17,0,26.08,clear sky,2021-02-15 16:11:26
214,Inhambane,MZ,-23.865,35.3833,82.4,83,75,13.8,light rain,2021-02-15 16:11:26
215,Mizdah,LY,31.4451,12.9801,45.59,56,45,19.75,scattered clouds,2021-02-15 16:11:26
216,Honningsvag,NO,70.9821,25.9704,24.8,74,75,8.05,broken clouds,2021-02-15 16:11:27
217,Sehithwa,BW,-20.4667,22.7167,82.36,59,29,5.79,scattered clouds,2021-02-15 16:11:27
218,Guanare,VE,9.0418,-69.7421,90.77,41,76,6.31,broken clouds,2021-02-15 16:11:27
219,Bardiyah,LY,31.7561,25.0865,54.19,59,44,21.16,scattered clouds,2021-02-15 16:11:28
220,Bandarbeyla,SO,9.4942,50.8122,75.67,76,37,12.59,scattered clouds,2021-02-15 16:11:28
221,Aswan,EG,24.0934,32.907,78.28,18,0,10.33,clear sky,2021-02-15 16:11:28
